seed,linear,polynomial (order 2),exponential (order 2),power (x + 10),sigmoid
88,0.971068408765379,0.9711015003967863,0.8676780185007216,0.7341993791701655,0.9914438965176946
89,0.9585260977771709,0.9695799271206894,0.9921712599275109,0.8792959050056677,0.9961157301008862
90,0.9630618140753651,0.9787812351359639,0.9909248005641831,0.9056554940832813,0.9953717895429576
91,0.9671643503924098,0.9894587747321195,0.9431639405353069,0.787319762364751,0.9875193182329461
92,0.9393824668058793,0.9775864195557558,0.9986306333927981,0.8102319570965041,0.9975338391664647
93,0.9750229394027301,0.977920843236937,0.971427426415834,0.846113279732432,0.9915140674910347
94,0.9578800311718569,0.9608376037348134,0.9954018986705248,0.8961939638640715,0.9988214403556694
95,0.958721913975586,0.9615107179612168,0.9848604730998628,0.8322110451696505,0.9986088496343349
96,0.9550334423164426,0.9627817149402648,0.9110694760093315,0.7202006540401805,0.9935544243484118
97,0.9521260080185481,0.9642839077452179,0.9410108070233763,0.7870685630176253,0.9964880615329215
98,0.9646054237542986,0.9922414037091299,0.9951141699080099,0.9498223239305315,0.9906648025990972
99,0.9475975777657966,0.9500418983295634,0.9906086529410885,0.8982072930744063,0.9941803507347133
